nD,tD,nB,tB,nA,tA
265807,265.806,265761,265.76,265890,265.889
266679,266.678,266622,266.621,266769,266.7675
267567,267.566,267506,267.5045,267641,267.64
268393,268.3915,268338,268.3365,268474,268.4725
269244,269.243,269189,269.1875,269325,269.324
270106,270.1045,270050,270.049,270187,270.186
270956,270.9545,270903,270.9015,271040,271.039
271838,271.837,271780,271.7785,271921,271.9195
272705,272.704,272645,272.644,272781,272.78
273550,273.549,273494,273.493,273633,273.6315
274406,274.4045,274348,274.3465,274484,274.4825
275228,275.2265,275176,275.1745,275315,275.3135
276086,276.0845,276033,276.032,276171,276.17
276976,276.9745,276919,276.918,277055,277.0535
277864,277.8625,277803,277.802,277942,277.9405
278719,278.718,278661,278.6595,278795,278.794
279534,279.5325,279479,279.478,279614,279.613
280383,280.382,280328,280.3265,280454,280.4525
281179,281.1775,281120,281.1185,281250,281.2485
282032,282.031,281977,281.9755,282227,282.226
282864,282.863,282814,282.8125,282956,282.955
283726,283.7245,283672,283.671,283823,283.8215
284631,284.63,284576,284.5745,284717,284.716
285512,285.511,285456,285.455,285601,285.6
286413,286.412,286355,286.3535,286503,286.502
287291,287.29,287233,287.2315,287375,287.3735
288159,288.1575,288089,288.088,288251,288.2495
289010,289.009,288948,288.947,289087,289.086
289824,289.823,289766,289.7645,289914,289.9125
290668,290.667,290609,290.608,290794,290.7925
291485,291.484,291437,291.436,291560,291.5585
292330,292.3285,292273,292.2715,292423,292.4215
293197,293.1955,293140,293.139,293274,293.273
294047,294.0455,293993,293.992,294133,294.132
294927,294.9255,294870,294.8685,295008,295.007
295790,295.789,295733,295.732,295873,295.8715
296683,296.6815,296623,296.622,296765,296.7635
297595,297.594,297540,297.539,297677,297.6755
298482,298.481,298424,298.423,298562,298.5605
299363,299.3615,299301,299.3,299439,299.4375
